"District","Division","Area","Club Number","Club Name","Club Status","Mem. Base","Active Members","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Level 5s, or DTM award","Add. Level 4s, Level 5s, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"91","A","01","00005774","Solent Speakers Club","Active","20","21","5","4","0","0","0","1","0","4","2","4","6","1","1","1","D"
"91","A","01","01279299","Hamwic Speakers","Active","43","45","10","8","2","4","8","1","8","4","24","7","4","1","1","1","P"
"91","A","01","02685904","Spinnaker Speakers","Active","20","15","3","2","1","0","1","0","0","4","7","5","3","1","1","1",""
"91","A","01","07713357","Shilling Speakers","Active","37","25","10","5","2","2","2","1","2","4","4","7","7","1","1","1","P"
"91","A","17","00008471","Reading Speakers Club ","Active","32","37","5","2","0","0","2","0","0","4","31","4","4","1","1","1","D"
"91","A","17","01348895","Microsoft Speakers Club","Active","23","19","6","0","0","0","0","1","3","4","8","6","4","1","1","1",""
"91","A","17","05257932","Reading Verizon Toastmasters","Active","15","12","6","3","2","2","1","1","2","1","0","4","4","1","1","1",""
"91","A","17","07850144","Verizon EMEA Online Toastmasters Club","Active","16","13","4","4","2","0","1","0","0","4","0","4","5","1","1","0",""
"91","A","19","00907029","South West Speakers","Active","23","21","3","2","1","0","1","0","0","4","6","1","0","1","1","1",""
"91","A","19","01163131","Casterbridge Speakers","Active","20","23","7","0","2","0","2","1","1","4","9","1","2","1","1","1","S"
"91","A","19","01249064","Armada Speakers","Active","20","16","6","4","2","0","0","0","0","4","5","4","4","1","1","1",""
"91","A","19","28675954","Wealth CDIO Toastmasters Club","Active","40","44","2","1","1","0","0","0","0","4","31","4","0","0","0","1",""
"91","A","42","00000742","Hallmark Speakers","Active","20","21","10","4","2","2","2","1","4","4","10","7","6","1","1","1","P"
"91","A","42","00595108","Chaseside Speakers Toastmasters Club - J.P.Morgan Chase empl","Active","12","9","2","0","0","0","0","0","0","3","0","4","4","1","0","1",""
"91","A","42","01768164","Ferndown Speakers","Active","15","16","2","0","0","0","0","0","0","4","5","0","0","1","1","0",""
"91","A","42","05877910","Salisbury Speakers","Active","19","13","7","2","2","0","2","1","1","4","0","7","4","1","1","1",""
"91","A","46","00002965","Newbury Speakers Club","Active","21","22","7","3","2","0","2","1","1","4","9","0","0","1","1","1","S"
"91","A","46","00009090","Wessex Speakers Club","Active","27","29","7","1","0","0","4","1","1","4","6","4","4","1","1","1","S"
"91","A","46","03599330","Basingstoke Speakers","Active","26","27","7","4","2","1","1","1","1","4","10","4","1","1","1","1","S"
"91","A","46","07932757","OpenText Speakers Club","Active","23","16","2","2","1","0","1","0","0","4","0","4","5","1","1","0",""
"91","A","62","00005161","Thamesdown Speakers Club ","Active","17","18","3","0","1","0","0","0","0","4","7","1","0","1","1","1",""
"91","A","62","00008580","Northavon Speakers Toastmasters Club","Active","25","21","4","2","0","0","0","0","0","4","5","5","4","1","1","1",""
