"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"91","A","01","00005774","Solent Speakers Club","10","0","15","15","30","0","40","S",""
"91","A","01","01279299","Hamwic Speakers","29","0","41","34","75","0","104","P",""
"91","A","01","02685904","Spinnaker Speakers","3","0","8","8","16","0","19","",""
"91","A","01","07713357","Shilling Speakers","8","0","24","26","50","0","58","P",""
"91","A","17","01348895","Microsoft Speakers Club","15","0","31","28","59","0","74","P",""
"91","A","17","05257932","Reading Verizon Toastmasters","9","0","22","11","33","0","42","D",""
"91","A","17","06754093","Oracle Toastmasters","0","0","6","1","7","0","7","",""
"91","A","17","07850144","Verizon EMEA Online Toastmasters Club","0","15","24","0","39","0","39","",""
"91","A","17","07932757","OpenText Speakers Club","6","0","22","17","39","0","45","",""
"91","A","42","00000742","Hallmark Speakers","19","2","11","14","27","0","46","S",""
"91","A","42","00595108","Chaseside Speakers Toastmasters Club - J.P.Morgan Chase empl","4","0","17","15","32","0","36","",""
"91","A","42","01163131","Casterbridge Speakers","5","0","20","18","38","0","43","P",""
"91","A","42","01768164","Ferndown Speakers","8","0","8","12","20","0","28","D",""
"91","A","42","05877910","Salisbury Speakers","7","0","10","11","21","0","28","P",""
"91","A","46","00002965","Newbury Speakers Club","12","0","16","20","36","0","48","S",""
"91","A","46","00008471","Reading Speakers Club ","18","0","33","31","64","0","82","P",""
"91","A","46","00009090","Wessex Speakers Club","13","0","20","25","45","0","58","D",""
"91","A","46","03599330","Basingstoke Speakers","10","0","16","19","35","0","45","D",""
"91","A","62","00008580","Northavon Speakers Toastmasters Club","14","0","13","13","26","0","40","S",""
"91","A","62","00907029","South West Speakers","16","0","19","25","44","0","60","S",""
"91","A","62","01249064","Armada Speakers","15","0","18","16","34","0","49","D",""
"91","A","62","04547336","Bath Spa Toastmasters","12","0","11","12","23","0","35","",""
"91","A","62","05812194","Bristol Central Speakers","43","0","21","32","53","0","96","P",""
"91","A","62","28675954","Wealth CDIO Toastmasters Club","0","0","0","0","0","33","33","","Charter 04/05/23"
"91","B","06","00005235","London Olympians Speakers Toastmasters Club","14","0","26","30","56","0","70","",""
"91","B","06","00007365","London Athenian Speakers Toastmasters Club","30","1","43","35","79","0","109","P",""
"91","B","06","00007951","London Corinthians Toastmasters","19","1","18","22","41","0","60","",""
"91","B","06","00885179","West London Speakers Club","17","0","20","21","41","0","58","D",""
"91","B","08","00005257","Tube Talk Toastmasters","17","0","17","21","38","0","55","S",""
"91","B","08","01592500","Phoenix Speakers","1","0","0","0","0","0","1","",""
"91","B","08","04138266","London Victorians","24","0","26","32","58","0","82","P",""
"91","B","08","05513601","Clapham Connectors","17","0","12","9","21","0","38","S",""
"91","B","08","07064444","Legacy Speakers Brixton","15","0","20","18","38","0","53","S",""
"91","B","09","00002390","Berkeley Square Speakers Toastmasters Club","23","0","41","41","82","0","105","P",""
"91","B","09","00004824","London Business School Public Speaking Club","30","1","15","21","37","0","67","P",""
"91","B","09","02078451","Society Speakers","21","0","16","20","36","0","57","P",""
"91","B","09","04495118","Paddington Toastmasters","23","0","20","27","47","0","70","P",""
"91","B","09","07989437","FTI Consulting UK","0","0","20","0","20","20","40","","Charter 07/21/22"
"91","B","18","00674907","London Cardinals","26","0","19","24","43","0","69","P",""
"91","B","18","04144038","104 London Debaters","29","1","21","28","50","0","79","D",""
"91","B","18","06843951","Zig-Zag Toastmasters","10","0","14","12","26","0","36","",""
"91","B","18","06963045","Centurion Toastmasters","12","0","15","18","33","0","45","",""
"91","B","52","00004141","Grosvenor Square Speakers","16","0","11","13","24","0","40","S",""
"91","B","52","01095711","Polish Your Polish","7","0","15","15","30","0","37","",""
"91","B","52","02165768","Imperial College Speakers","0","0","0","0","0","0","0","",""
"91","B","52","02277701","Kings Speakers","22","0","28","26","54","0","76","S",""
"91","C","02","00003149","Holborn Speakers","41","0","23","39","62","0","103","S",""
"91","C","02","00005964","Broadgate Speakers","18","0","8","7","15","0","33","D",""
"91","C","02","01417626","Bloomsbury Speakers","8","0","13","13","26","0","34","",""
"91","C","02","03025177","Connected Speakers London","15","0","18","15","33","0","48","",""
"91","C","02","05101315","Lloyds Banking Group Toastmasters","15","0","19","29","48","0","63","P",""
"91","C","05","00007989","St Pauls Speakers","8","0","9","10","19","0","27","",""
"91","C","05","01414048","ACCAmembers Breakfast Club","4","0","2","0","2","0","6","",""
"91","C","05","01519329","Covent Garden Speakers","0","0","0","0","0","0","0","",""
"91","C","05","05920958","Google UK Speakers","17","0","14","21","35","0","52","P",""
"91","C","05","28675589","PA Consulting London","107","0","0","28","28","121","256","","Charter 11/02/22"
"91","C","34","00835375","Early Bird Speakers","16","0","37","47","84","0","100","P",""
"91","C","34","01182993","Bayes Toastmasters","11","0","10","15","25","0","36","S",""
"91","C","34","04169140","City Limits Speakers","10","0","23","24","47","0","57","P",""
